StateCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IA,2756000,2756000,2750000,2747000,2746000,2742000,2762000,2793000,2803000,2805000,2825368,2851705,2860287,2863715,2867530,2880847,2903082,2913573,2918069,2915739,2913808,2907983,2888189,2870543,2858618,2829684,2791970,2767011,2768388,2770592,2779769,2791227,2806923,2820525,2829422,2840860,2848473,2854396,2869413,2861025,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3190571,3197689
ID,671000,684000,692000,683000,680000,686000,689000,688000,695000,707000,713015,738753,763237,782074,807990,831982,856983,883469,910690,932627,943935,962204,973721,981869,990839,994051,990224,984997,985664,994416,1011882,1038915,1066490,1101204,1135459,1165000,1187706,1210638,1230923,1251700,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1849202,1904314
IL,10086000,10130000,10280000,10402000,10580000,10693000,10836000,10947000,10995000,11039000,11110285,11202397,11251948,11251367,11262145,11291743,11342853,11386316,11412561,11396837,11426518,11443458,11423412,11408818,11412132,11399806,11387257,11391178,11390183,11409782,11446979,11535973,11635197,11725984,11804986,11884935,11953003,12011509,12069774,12128370,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12786580,12686469
IN,4674000,4730000,4736000,4799000,4856000,4922000,4999000,5053000,5093000,5143000,5195392,5253396,5302435,5338277,5361890,5365766,5389088,5425638,5470214,5501174,5490224,5480435,5467922,5450395,5458322,5459211,5454108,5473012,5491735,5523693,5555097,5602062,5648649,5701965,5745626,5791819,5834908,5872370,5907617,5942901,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6788799,6813532
KS,2183000,2215000,2231000,2217000,2209000,2206000,2200000,2197000,2216000,2236000,2249071,2246600,2256375,2265603,2269499,2280578,2301001,2320647,2335657,2350906,2363679,2384849,2401202,2415531,2424086,2427405,2432619,2445367,2461996,2472849,2480683,2495209,2526042,2547605,2569118,2586942,2598266,2616339,2638667,2654052,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2937919,2937922
KY,3041000,3054000,3079000,3096000,3129000,3140000,3147000,3172000,3195000,3198000,3220711,3298053,3335728,3371024,3416315,3467769,3529257,3573693,3609976,3641804,3660777,3670394,3683445,3694484,3695453,3694826,3687809,3683329,3679999,3677306,3692584,3714686,3756358,3792288,3823215,3855248,3881051,3907816,3934310,3960825,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4507445,4506589
LA,3260000,3287000,3345000,3377000,3446000,3496000,3550000,3581000,3603000,3619000,3644637,3710487,3761646,3788375,3820109,3886104,3950605,4014459,4068579,4137665,4205900,4283303,4352608,4395316,4400477,4408118,4406919,4344148,4288863,4252894,4219179,4240950,4270849,4284749,4306500,4327978,4338763,4351390,4362758,4372035,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4651664,4627098
MA,5160000,5219000,5263000,5344000,5448000,5502000,5535000,5594000,5618000,5650000,5689170,5737580,5760302,5781172,5773548,5757756,5743672,5738199,5736469,5738404,5737037,5768685,5771222,5799407,5840773,5880733,5902678,5935204,5979982,6015478,6018664,5998652,5993474,6010884,6031352,6062335,6085335,6115476,6144407,6175169,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6995729,6989690
MD,3113000,3176000,3263000,3386000,3492000,3600000,3695000,3757000,3815000,3868000,3923897,4018324,4073499,4097974,4118815,4139096,4150539,4169595,4183603,4191160,4216975,4261905,4282923,4313327,4365243,4413071,4486957,4565557,4657904,4727301,4797431,4856176,4902545,4942504,4985411,5023650,5057142,5092914,5130072,5172634,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6173205,6174610
ME,975000,995000,994000,993000,993000,997000,999000,1004000,994000,992000,993722,1015390,1034292,1045655,1059040,1071995,1088412,1103578,1113566,1122563,1124660,1133033,1136684,1144772,1155635,1162936,1170126,1184574,1203840,1219961,1231296,1235439,1235748,1238256,1237687,1237438,1241436,1245215,1247554,1253040,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1363557,1377238
