StateCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IA,7921,7921,7921,7921,8350,9196,10202,10617,11273,12332,12957,13666,15311,18502,19341,21993,24436,27011,30763,33496,34582,38272,37289,37481,41264,42431,43226,45283,49088,52907,56121,57944,61870,63386,70161,73137,78819,82720.4,84644,87782.4,93112,94837.8,98557,105123.3,117188.5,123190.9,127896.3,137930.2,137548.5,136894.6,142233.9,148477.6,158538.4,162200.3,173095.9,180299.3,181011.4,184561.3,191516.6,195708.7,196982.9,216860.2
ID,1841,1841,1841,1841,1946,2197,2273,2335,2497,2750,3015,3265,3773,4481,5186,5835,6591,7206,8450,9286,9916,10677,10689,11834,12586,13044,13220,13996,15285,16909,18004,18852,20632,23100,25455,27762,28915,29496.9,31059.8,34239.9,38083.1,37489,38673.2,40490.6,44327.9,48642.8,51125.8,53934.5,56200.8,54064.1,55587.6,56941.1,58323.9,61835.8,64575.2,65899.9,68837.4,71730.3,77395.4,82847.2,85927.8,96282.8
IL,39514,39514,39514,39514,42478,45978,50435,52817,56331,60840,62763,67379,73501,81286,88070,95880,104819,115077,128122,139253,145264,159649,164267,173119,194244,206281,218696,231210,252197,266608,279019,288473,306236,320079,347971,364451,383504,415534.8,436567.1,460331.1,487014.6,501552.8,514361.1,533022.5,563060.8,589811.8,624242.9,650145.2,654657.5,649862.7,666404.8,692880.8,726399.1,741121.5,771356.1,799930.5,807043.2,824913.4,865661,889540.1,856942.9,945673.8
IN,15636,15636,15636,15636,16723,18518,20049,20951,22646,24212,24546,26882,29954,33972,35606,37677,43775,47901,53729,57917,58870,64724,64982,69335,78859,82011,86437,91650,99492,107199,110860,114637,124714,132108,143335,150404,158350,170431.9,184359.8,193147.3,203801.1,205470.9,212837.8,225442.7,239743.6,248170.5,259602.8,273509.5,275538.7,263326.8,282562.2,291356.1,300513.9,312138.5,327958.3,331945.7,340500.7,352601,373196.8,381132.3,373781.6,412975.2
KS,6135,6135,6135,6135,6418,6831,7401,7760,8487,9166,9755,10824,12127,14000,15063,16855,18953,20539,22824,26300,28298,31978,33491,35257,38442,40658,41795,44164,46698,48814,51874,53981,56902,58953,63304,65282,69616,74662.3,78382,81883.8,86099,88883.6,91584.2,95359.9,99083,105526.3,114091.9,123878.7,128604.3,125348.9,128591.3,136358.9,141818.2,144483.2,150183.6,154958.2,160451,165182.5,172343,176564.4,177580.9,191380.6
KY,8355,8355,8355,8355,8774,9518,10378,11041,12212,13206,13943,15568,16915,18903,21173,22810,26040,29176,32683,35838,37017,41068,42184,44092,49344,51893,53199,56282,61851,65525,68412,71679,77531,81618,87646,91915,96617,104546.2,109382.3,115106.8,114169.2,117647.9,122435.3,127982.2,135529.3,145011.1,153408.4,157163.7,159883.8,157479.8,166408.7,171586.9,178143.7,184524.4,187983.8,193413.1,196484.9,201872.2,208558.6,218494.7,216865.6,237182
LA,9659,9659,9659,9659,10468,11453,12774,14022,15076,16321,17177,18634,20294,22735,26892,30675,34413,39670,45212,51653,63925,77201,78067,76881,82623,84391,77107,78488,83196,87574,95177,96043,90890,95866,105119,112876,118807,116313.2,120198.1,125807.3,132640.8,137901.2,139800.9,155092.4,171006.1,199594.7,207773.8,203041,212392.4,204906.9,225308.9,229945,235384.7,230832.5,240737.3,235113.5,227090.7,241213.4,256677.8,255481.9,232527.8,258571.3
MA,17415,17415,17415,17415,18625,19997,21837,23275,25226,27476,29052,30989,33807,36912,39313,41910,45498,50719,56883,62965,69684,77833,83777,93054,106425,116613,127155,138900,151625,158200,159505,160728,167435,173527,185710,196409,210630,237267.4,249299,264644.4,288791,296868.7,301836.4,311188.6,326737.1,341993.2,359270,378519.1,390778.4,390504.8,411136.1,425523,442916.9,454321.2,470468.5,498851.3,514637.6,531008,563054.3,589904.3,585150.3,641332.2
MD,10261,10261,10261,10261,11171,12263,13563,14319,15852,17385,18720,20501,22644,25112,27381,29597,32612,35555,39526,43628,47522,53117,56339,62205,69920,76878,83744,91380,101280,107444,112835,115428,119535,125515,133311,139070,145023,159372.1,169982.1,180261.6,192021.4,205981,217837.1,228959.3,245124.5,262100,274145.3,282965.6,295400.2,299102.7,314728.3,326281.2,332523.5,340577.6,352761.3,369728.1,387733.4,400157,410812.2,420371.3,410931,443929.9
ME,2420,2420,2420,2420,2604,2807,3001,3154,3406,3695,3959,4207,4625,5203,5603,5996,6968,7647,8449,9335,10263,11255,12115,13239,14897,16046,17382,19166,21371,22670,23256,23379,24329,25202,26543,28153,29256,30618.4,32156.2,34413.2,36890.3,38605.7,40466.2,42315.2,45210,47078.5,49045.4,50459.3,50713.2,51123.8,52256.2,52575.5,53679.7,54470.1,56410.8,58131.3,60254.4,62253.6,65477.1,68690.4,70740,77963.3
